//X,Y,Z,R,G,B
401886.950,5755895.670,79.990,160,188,122
401886.790,5755895.810,80.040,161,189,120
401886.560,5755895.760,79.980,144,170,95
401885.900,5755895.730,79.870,167,190,116
401887.530,5755895.580,79.830,154,179,101
401887.380,5755895.720,79.870,152,177,98
401887.230,5755895.860,79.920,132,155,88
401887.090,5755896.020,79.970,129,152,93
401886.450,5755896.020,79.880,174,198,131
401886.210,5755895.980,79.830,171,194,123
401886.070,5755896.140,79.880,146,167,103
401890.380,5755895.350,79.930,148,175,109
401888.960,5755895.480,79.790,140,166,90
401888.780,5755895.570,79.800,158,188,105
401892.630,5755895.280,80.020,135,169,73
401892.450,5755895.350,80.020,127,160,72
401892.270,5755895.420,80.030,147,181,75
401891.000,5755895.350,79.810,170,206,81
401890.840,5755895.490,79.850,172,206,95
401890.700,5755895.660,79.910,168,197,113
401890.300,5755895.700,79.880,172,198,127
401890.090,5755895.700,79.850,167,193,120
401889.870,5755895.680,79.800,169,195,119
401889.610,5755895.560,79.710,167,191,116
401889.390,5755895.530,79.660,168,193,118
401889.210,5755895.600,79.670,155,178,110
401889.090,5755895.810,79.750,161,188,114
401892.750,5755895.610,79.980,120,146,70
401892.570,5755895.680,79.990,140,165,83
401892.110,5755895.570,79.870,173,205,78
401891.870,5755895.490,79.800,174,208,85
401891.690,5755895.540,79.800,155,188,76
401891.480,5755895.540,79.770,143,178,57
401891.340,5755895.730,79.830,159,197,63
401889.520,5755895.880,79.640,179,204,128
401910.150,5755893.890,79.540,158,185,94
401909.980,5755894.060,79.610,156,185,93
401909.790,5755894.040,79.560,153,182,91
401912.190,5755894.050,79.740,171,197,112
401912.010,5755894.000,79.690,169,198,111
401911.810,5755893.820,79.570,173,203,117
401911.630,5755893.870,79.560,178,205,119
401911.280,5755893.950,79.550,170,200,109
401911.090,5755893.890,79.490,175,204,106
401910.920,5755894.050,79.540,184,211,113
401910.740,5755894.070,79.530,179,206,108
401910.560,5755894.100,79.510,163,193,97
401910.380,5755894.110,79.490,152,182,87
401910.200,5755894.170,79.490,153,184,88
401910.030,5755894.280,79.520,149,180,84
401909.850,5755894.300,79.510,154,182,91
401914.170,5755893.680,79.670,177,199,127
401915.800,5755893.710,79.740,204,228,147
401914.220,5755894.040,79.660,166,187,119
401915.030,5755893.530,80.190,160,189,117
401915.060,5755893.550,80.010,157,190,113
401914.970,5755893.580,80.100,166,196,118
401914.880,5755893.620,80.190,153,181,104
401915.210,5755893.740,79.940,141,173,95
401915.100,5755893.660,79.920,143,177,96
401915.000,5755893.610,79.940,158,190,113
401914.910,5755893.610,79.990,164,193,117
401914.820,5755893.660,80.090,164,192,113
401914.710,5755893.550,80.050,153,182,101
401915.150,5755893.860,79.910,145,175,98
401915.040,5755893.720,79.840,151,182,105
401914.940,5755893.690,79.870,152,180,106
401914.850,5755893.690,79.930,158,186,114
401914.760,5755893.740,80.040,158,184,110
401914.650,5755893.640,80.000,160,187,109
401915.090,5755893.910,79.820,160,190,111
401914.990,5755893.900,79.870,156,187,112
401914.900,5755893.920,79.950,150,179,105
401914.800,5755893.850,79.950,164,191,120
401914.700,5755893.830,79.980,167,191,117
401914.610,5755893.820,80.040,173,197,123
401914.500,5755893.680,79.960,190,212,142
401914.750,5755894.030,79.970,138,167,91
401914.650,5755893.960,79.970,161,187,109
401914.550,5755893.950,80.020,173,197,120
401914.450,5755893.850,79.980,194,215,146
401914.340,5755893.680,79.890,194,215,144
401914.240,5755893.690,79.960,181,204,129
401914.400,5755893.990,79.980,188,210,142
401914.290,5755893.830,79.890,192,216,146
401914.180,5755893.760,79.890,191,219,142
401914.070,5755893.590,79.780,186,212,133
401914.230,5755893.980,79.890,161,186,116
401914.130,5755893.860,79.850,163,192,118
401914.020,5755893.730,79.780,181,211,131
401913.910,5755893.600,79.720,170,194,107
401914.080,5755894.010,79.850,147,173,100
401913.970,5755893.920,79.830,164,194,114
401913.860,5755893.720,79.700,168,193,115
401913.760,5755893.680,79.720,144,168,98
401914.010,5755894.010,79.710,155,179,107
401913.820,5755893.960,79.780,161,187,116
401913.710,5755893.890,79.780,160,183,110
401913.620,5755893.840,79.800,147,172,89
401913.510,5755893.730,79.750,157,185,98
401913.570,5755894.050,79.860,163,186,110
401913.470,5755893.960,79.830,162,188,111
401912.890,5755893.760,80.000,145,175,94
401913.330,5755894.130,79.910,160,185,111
401912.830,5755893.790,79.890,146,175,94
401912.730,5755893.740,79.900,135,167,79
401912.630,5755893.710,79.930,136,169,79
401912.880,5755894.040,79.930,166,190,111
401912.770,5755893.910,79.870,153,179,98
401912.680,5755893.890,79.910,146,173,88
401912.580,5755893.810,79.890,153,181,98
401912.480,5755893.790,79.930,156,188,101
401912.640,5755894.120,79.990,162,187,111
401912.540,5755894.040,79.970,162,190,111
401912.450,5755893.990,79.980,163,193,111
401912.320,5755893.750,79.820,163,193,105
